episode,name,score
165,agent-1,0.10000000149011612
165,mean,0.09500000160187483
165,rolling-mean 100,0.006500000283122063
166,agent-0,0.0
166,agent-1,-0.009999999776482582
166,mean,-0.004999999888241291
166,rolling-mean 100,0.006500000283122063
167,agent-0,0.10000000149011612
167,agent-1,-0.009999999776482582
167,mean,0.04500000085681677
167,rolling-mean 100,0.007000000290572643
168,agent-0,-0.009999999776482582
168,agent-1,0.0
168,mean,-0.004999999888241291
168,rolling-mean 100,0.007000000290572643
169,agent-0,-0.009999999776482582
169,agent-1,0.0
169,mean,-0.004999999888241291
169,rolling-mean 100,0.007000000290572643
170,agent-0,-0.009999999776482582
170,agent-1,0.0
170,mean,-0.004999999888241291
170,rolling-mean 100,0.006500000283122063
171,agent-0,-0.009999999776482582
171,agent-1,0.0
171,mean,-0.004999999888241291
171,rolling-mean 100,0.006500000283122063
172,agent-0,0.0
172,agent-1,-0.009999999776482582
172,mean,-0.004999999888241291
172,rolling-mean 100,0.006500000283122063
173,agent-0,0.0
173,agent-1,-0.009999999776482582
173,mean,-0.004999999888241291
173,rolling-mean 100,0.006500000283122063
174,agent-0,0.0
174,agent-1,-0.009999999776482582
174,mean,-0.004999999888241291
174,rolling-mean 100,0.006500000283122063
175,agent-0,-0.009999999776482582
175,agent-1,0.0
175,mean,-0.004999999888241291
175,rolling-mean 100,0.006500000283122063
176,agent-0,0.0
176,agent-1,-0.009999999776482582
176,mean,-0.004999999888241291
176,rolling-mean 100,0.006500000283122063
177,agent-0,0.0
177,agent-1,-0.009999999776482582
177,mean,-0.004999999888241291
177,rolling-mean 100,0.006500000283122063
178,agent-0,-0.019999999552965164
178,agent-1,0.0
178,mean,-0.009999999776482582
178,rolling-mean 100,0.0059500002767890695
179,agent-0,0.0
179,agent-1,-0.009999999776482582
179,mean,-0.004999999888241291
179,rolling-mean 100,0.0059500002767890695
180,agent-0,-0.009999999776482582
180,agent-1,0.0
180,mean,-0.004999999888241291
180,rolling-mean 100,0.0059500002767890695
181,agent-0,0.0
181,agent-1,-0.009999999776482582
181,mean,-0.004999999888241291
181,rolling-mean 100,0.005450000269338489
182,agent-0,0.0
182,agent-1,-0.009999999776482582
182,mean,-0.004999999888241291
182,rolling-mean 100,0.004950000261887908
183,agent-0,0.0
183,agent-1,-0.009999999776482582
183,mean,-0.004999999888241291
183,rolling-mean 100,0.004950000261887908
184,agent-0,0.0
184,agent-1,0.09000000171363354
184,mean,0.04500000085681677
184,rolling-mean 100,0.004950000261887908
185,agent-0,-0.009999999776482582
185,agent-1,0.0
185,mean,-0.004999999888241291
185,rolling-mean 100,0.004950000261887908
186,agent-0,0.0
186,agent-1,-0.009999999776482582
186,mean,-0.004999999888241291
186,rolling-mean 100,0.004950000261887908
187,agent-0,-0.009999999776482582
187,agent-1,0.0
187,mean,-0.004999999888241291
187,rolling-mean 100,0.0039500002469867465
188,agent-0,-0.009999999776482582
188,agent-1,0.0
188,mean,-0.004999999888241291
188,rolling-mean 100,0.0039500002469867465
189,agent-0,0.0
189,agent-1,-0.009999999776482582
189,mean,-0.004999999888241291
189,rolling-mean 100,0.0039500002469867465
190,agent-0,-0.009999999776482582
190,agent-1,0.0
190,mean,-0.004999999888241291
190,rolling-mean 100,0.0039500002469867465
191,agent-0,0.0
191,agent-1,-0.009999999776482582
191,mean,-0.004999999888241291
191,rolling-mean 100,0.0039500002469867465
192,agent-0,0.0
192,agent-1,-0.009999999776482582
192,mean,-0.004999999888241291
192,rolling-mean 100,0.0039500002469867465
193,agent-0,0.0
193,agent-1,0.09000000171363354
193,mean,0.04500000085681677
193,rolling-mean 100,0.004450000254437327
194,agent-0,-0.009999999776482582
194,agent-1,0.0
194,mean,-0.004999999888241291
194,rolling-mean 100,0.004450000254437327
195,agent-0,-0.009999999776482582
195,agent-1,0.0
195,mean,-0.004999999888241291
195,rolling-mean 100,0.004450000254437327
196,agent-0,0.10000000149011612
196,agent-1,-0.009999999776482582
196,mean,0.04500000085681677
196,rolling-mean 100,0.004450000254437327
197,agent-0,0.0
197,agent-1,0.09000000171363354
197,mean,0.04500000085681677
197,rolling-mean 100,0.004950000261887908
198,agent-0,-0.009999999776482582
198,agent-1,0.0
198,mean,-0.004999999888241291
198,rolling-mean 100,0.004450000254437327
199,agent-0,0.0
199,agent-1,-0.009999999776482582
199,mean,-0.004999999888241291
199,rolling-mean 100,0.0039500002469867465
200,agent-0,0.0
200,agent-1,-0.009999999776482582
200,mean,-0.004999999888241291
200,rolling-mean 100,0.0039500002469867465
201,agent-0,-0.009999999776482582
201,agent-1,0.0
201,mean,-0.004999999888241291
201,rolling-mean 100,0.0039500002469867465
202,agent-0,0.0
202,agent-1,-0.009999999776482582
202,mean,-0.004999999888241291
202,rolling-mean 100,0.0039500002469867465
203,agent-0,-0.009999999776482582
203,agent-1,0.0
203,mean,-0.004999999888241291
203,rolling-mean 100,0.0039500002469867465
204,agent-0,0.0
204,agent-1,-0.009999999776482582
204,mean,-0.004999999888241291
204,rolling-mean 100,0.0039500002469867465
205,agent-0,-0.009999999776482582
205,agent-1,0.0
205,mean,-0.004999999888241291
205,rolling-mean 100,0.0039500002469867465
206,agent-0,-0.009999999776482582
206,agent-1,0.0
206,mean,-0.004999999888241291
206,rolling-mean 100,0.002450000224635005
207,agent-0,0.0
207,agent-1,-0.009999999776482582
207,mean,-0.004999999888241291
207,rolling-mean 100,0.002450000224635005
208,agent-0,0.10000000149011612
208,agent-1,-0.009999999776482582
